level,rep,comment
L0,3,"The portfolio allocates higher weights to large, stable, and defensive companies across sectors (technology, healthcare, consumer staples, and financials) to reduce risk and enhance diversification. Weights are tilted toward lower-volatility, blue-chip stocks, while maintaining exposure to all 30 stocks for broad diversification. No short selling is used, and all weights are non-negative and sum to 1."
L1,3,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. Only stocks with the highest risk-adjusted returns and low correlations were selected, resulting in concentrated allocations to AAPL, MSFT, WMT, and AMZN. This approach balances higher expected returns with lower overall portfolio risk."
L2,3,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return minus 0.5 times portfolio variance, subject to no short selling and full investment constraints. The optimizer allocated weights only to stocks with the highest risk-adjusted returns and lowest covariances, resulting in a concentrated portfolio. This approach reflects the risk-aversion parameter and the diversification constraint embedded in the covariance structure."
L3,3,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda = 0.5, maximizing expected return minus half the risk, subject to non-negative weights and full investment. Quadratic programming was used to enforce the no-short-selling and sum-to-one constraints. The solution concentrates weights in stocks with the highest risk-adjusted returns and favorable covariances, resulting in a diversified but focused allocation."
L0,4,"The portfolio allocates higher weights to large, stable companies across sectors such as technology, healthcare, and consumer staples, while maintaining diversification by including all 30 stocks with non-negative weights. Riskier or more cyclical stocks are assigned lower weights to reduce overall portfolio risk. This approach balances diversification and risk aversion, ensuring no single stock or sector dominates the portfolio."
L1,4,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. Higher expected return stocks with lower correlations and volatility were favored, while riskier or negatively-returning stocks were excluded. The resulting allocation is diversified across technology, healthcare, and consumer sectors to balance risk and return."
L2,4,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return minus half the variance, subject to no short selling and full investment. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation. This approach reflects the investor's risk aversion while seeking optimal diversification within the constraints."
L3,4,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus half the risk, subject to no short selling and full investment. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, CRM, V, and AMZN. This approach ensures the portfolio is optimal for a risk-averse investor under the given constraints."
L0,5,"The portfolio allocates higher weights to large, stable, and defensive companies across sectors such as technology, healthcare, and consumer staples, while maintaining diversification by including all 30 stocks with non-negative weights. No single stock dominates the portfolio, and sector exposure is balanced to reduce risk. The approach prioritizes stability and diversification, suitable for a risk-averse investor."
L1,5,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The optimizer concentrated weights in stocks with the highest risk-adjusted returns and low correlations, resulting in a focused allocation to AAPL, MSFT, DIS, and AMZN. Diversification is achieved through exposure to both technology and consumer sectors, balancing risk and return."
L2,5,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return while penalizing risk, subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns (AAPL, MSFT, AMZN, CRM) received nonzero weights, reflecting the risk-averse preference. The solution is mathematically optimal for the given parameters, but may be less diversified than desired due to the dominance of a few high-return, moderate-risk stocks."
L3,5,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, maximizing expected return minus risk penalty, subject to no short-selling and full investment. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, V, AMZN, and CRM. This approach ensures risk aversion and diversification among top-performing stocks."
L0,6,"The portfolio was constructed by assigning higher weights to large, stable companies in defensive sectors (technology, healthcare, consumer staples) and diversifying across all 30 stocks to reduce risk. No single stock exceeds 6% allocation, and all sectors are represented to enhance diversification. This approach aims to balance risk and return for a risk-averse investor."
L1,6,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The optimizer allocated weights primarily to AAPL, MSFT, AMZN, and WMT, which offer high expected returns and favorable risk characteristics. Diversification is achieved by spreading allocations among these low-correlation, high-return stocks while minimizing exposure to higher-risk or low-return assets."
L2,6,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return minus half the variance, subject to no short selling and full investment. The optimizer allocated weights to maximize risk-adjusted return, resulting in a concentrated allocation to high-return, moderate-risk stocks (MSFT, AAPL, CRM, AMZN). Diversification is limited due to the optimizer's preference for assets with the highest risk-adjusted returns under the given constraints."
L3,6,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus half the risk, subject to no short-selling and full investment constraints. The optimizer allocated weights only to assets with the highest risk-adjusted returns and lowest covariances, resulting in a concentrated portfolio in AAPL, MSFT, V, AMZN, and CRM. This approach reflects the trade-off between maximizing return and minimizing risk under the given constraints."
L0,7,"The portfolio allocates higher weights to large, stable companies in technology, healthcare, and consumer staples, while maintaining exposure to all sectors for diversification. Weights are tilted toward lower-volatility, defensive stocks to reduce risk, and no single stock dominates the portfolio. All weights are non-negative and sum to 1, satisfying the investor's risk-averse and diversification requirements."
L1,7,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The optimizer concentrated weights in stocks with the highest risk-adjusted returns and low correlations, notably MSFT, AAPL, WMT, and AMZN. This allocation balances higher expected returns with lower overall portfolio risk."
L2,7,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return minus 0.5 times variance, subject to no short selling and full investment. Only assets with the best risk-adjusted returns and lowest correlations were selected, resulting in a concentrated allocation to AAPL, MSFT, V, CRM, AMZN, and DIS. This approach balances risk aversion and diversification, focusing on stocks with high expected returns and favorable covariance characteristics."
L3,7,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus half the risk, subject to no short-selling and full investment constraints. Only assets with the highest risk-adjusted returns and lowest correlations received positive weights, resulting in a concentrated allocation. Numerical quadratic programming was used to enforce the constraints and find the optimal solution."
L0,8,"The portfolio allocates higher weights to large, stable companies in technology, healthcare, and consumer staples sectors to reduce risk, while maintaining diversification across all 30 stocks. Weights are tilted toward lower-volatility, defensive sectors and blue-chip stocks, with smaller allocations to more cyclical or volatile names. All weights are non-negative and sum exactly to 1, ensuring compliance with the investor's constraints."
L1,8,"The portfolio was constructed by solving a mean-variance optimization problem, maximizing expected return for a given level of risk while enforcing no short selling and full investment. The solution emphasizes stocks with high expected returns and low correlations, while including defensive stocks (JNJ, MRK, PG, UNH) for risk reduction. This results in a diversified allocation across technology, healthcare, and consumer sectors, balancing risk and return for a risk-averse investor."
L2,8,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return while penalizing risk, and subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns and favorable covariances received nonzero weights, resulting in a concentrated allocation to AAPL, MSFT, DIS, AMZN, and CRM. This approach balances risk aversion and diversification, but the optimizer favored a few stocks due to their superior risk-return profiles."
L3,8,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, maximizing expected return minus risk penalty, subject to non-negative weights and full investment. Numerical quadratic programming was used to enforce no-short-selling and diversification. The resulting allocation favors stocks with high expected returns and reasonable risk, while assigning zero weight to lower-return or highly correlated assets."
L0,9,"The portfolio allocates higher weights to large, stable, and defensive companies in technology, healthcare, and consumer staples, while maintaining exposure to all sectors for diversification. Weights are assigned to favor lower volatility and historically resilient stocks, with no single stock exceeding 6% to limit concentration risk. All weights are non-negative and sum to 1, adhering to the investor's risk-averse profile."
L1,9,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. Stocks with higher expected returns and lower correlations/volatility were favored, resulting in a diversified allocation across technology, healthcare, consumer, and financial sectors. Weights for riskier or low-return stocks were set to zero to minimize overall portfolio risk."
L2,9,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return while penalizing risk, subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns and lowest covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, AMZN, and CRM. This approach reflects the investor's risk aversion and the mathematical solution to the optimization problem."
L3,9,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, maximizing expected return minus half the risk penalty, subject to no short selling and full investment. Quadratic programming was used to numerically solve for the optimal non-negative weights, given the expected returns and covariance matrix. The resulting portfolio is concentrated in stocks with high expected returns and favorable risk-return trade-offs."
L0,10,"The portfolio allocates higher weights to large, stable, and defensive companies across sectors to reduce risk, while ensuring diversification by spreading investments across all 30 stocks. Weights are tilted toward lower-volatility, blue-chip stocks in healthcare, consumer staples, and technology. No short selling is used, and all weights are non-negative and sum to 1."
L1,10,"The portfolio was constructed using mean-variance optimization, maximizing expected return for a given level of risk while enforcing no short selling and full investment constraints. Only stocks with the best risk-adjusted returns and low correlations were selected, resulting in a concentrated but diversified allocation. This approach balances higher expected returns with lower overall portfolio volatility, suitable for a risk-averse investor."
L2,10,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return minus 0.5 times variance, subject to no short selling and full investment. The optimizer concentrated weights in stocks with the highest risk-adjusted returns and lowest covariances, notably MSFT, AAPL, and V. This result reflects the risk-averse preference and the mathematical solution given the provided expected returns and covariances."
L3,10,"The portfolio was constructed using constrained mean-variance optimization with no short-selling, maximizing expected return minus 0.25 times variance. Only assets with the highest risk-adjusted returns and lowest correlations received positive weights, resulting in a concentrated allocation. The weights sum to 1 and all are non-negative, as required."
L0,11,"The portfolio allocates slightly higher weights to large, stable, and defensive companies in technology, healthcare, and consumer staples, while maintaining broad diversification across all sectors represented in the Dow 30. No single stock exceeds a 6% allocation, and all weights are non-negative and sum to 1. This approach aims to reduce risk and volatility for a risk-averse investor."
L1,11,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The solution allocates to stocks with the highest risk-adjusted returns and lowest correlations, resulting in concentrated weights in AAPL, MSFT, V, and AMZN. This approach balances higher expected returns with lower overall portfolio risk."
L2,11,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return while penalizing risk, subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns and lowest covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, V, DIS, AMZN, and CRM. This approach balances risk aversion with the desire for higher expected returns."
L3,11,"The portfolio was constructed using constrained mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus risk penalty, subject to no short-selling and full investment. Only assets with the highest risk-adjusted returns and lowest covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, DIS, V, AMZN, and CRM. This approach ensures the investor's risk aversion and diversification constraints are respected."
L0,12,"The portfolio allocates higher weights to large, stable companies across sectors such as technology, healthcare, and consumer staples, while maintaining diversification by spreading smaller weights across all 30 stocks. No single stock or sector dominates, reducing concentration risk. All weights are non-negative and sum to 1, in line with the investor's risk-averse profile."
L1,12,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The solution concentrates on stocks with the highest expected returns and favorable risk characteristics, resulting in allocations to MSFT, AAPL, V, and AMZN. Diversification is achieved by including multiple sectors, while minimizing overall portfolio volatility."
L2,12,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return minus half the portfolio variance, subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns and lowest covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, AMZN, and CRM. This approach balances risk aversion and diversification, but the optimizer favored a few high-return, moderate-risk stocks."
L3,12,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda = 0.5, maximizing expected return minus half the variance, subject to non-negative weights and full investment. Only assets with the highest risk-adjusted returns and lowest covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, V, AMZN, and CRM. No short positions were allowed, ensuring all weights are non-negative and sum to 1."
L0,13,"The portfolio allocates higher weights to large, stable companies across sectors such as technology, healthcare, and consumer staples, while maintaining diversification by including all 30 stocks. Weights are tilted toward lower-volatility, defensive sectors to suit a risk-averse investor, and no single stock or sector dominates the allocation. All weights are non-negative and sum to 1, ensuring compliance with the constraints."
L1,13,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The optimizer concentrated weights in stocks with the highest risk-adjusted returns and lowest correlations, specifically MSFT, AAPL, and AMZN. This allocation achieves a balance between higher expected returns and lower overall portfolio risk."
L2,13,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return minus half the variance, subject to no short selling and full investment constraints. The optimizer allocated nearly all weight to MSFT and AAPL due to their high expected returns and favorable risk-return profiles, with small allocations to AMZN and V. The result reflects the risk aversion parameter and the covariance structure, but the optimizer found concentration in a few high-return, lower-risk assets optimal under the given data."
L3,13,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, maximizing expected return minus risk penalty, subject to no short-selling and full investment. Only assets with the highest risk-adjusted expected returns and favorable covariances received positive weights. The result is a concentrated allocation to a few high-return, relatively low-covariance stocks."
L0,14,"The portfolio allocates weights to each stock to achieve broad sector diversification, with slightly higher weights to large, stable companies and defensive sectors to reduce risk. No single stock or sector dominates, and all weights are non-negative and sum to one. This approach aims to minimize risk while maintaining exposure to growth and value stocks across industries."
L1,14,"The portfolio was constructed using mean-variance optimization (Markowitz) to maximize expected return for a given level of risk, subject to no short selling and full investment constraints. Higher expected return stocks with lower correlations and volatility were favored, resulting in a diversified allocation across technology, healthcare, consumer, and financial sectors. This approach balances risk and return, suitable for a risk-averse investor."
L2,14,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return while penalizing risk, subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns and lowest covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, AMZN, and CRM. This approach reflects the investor's risk aversion and the mathematical solution to the optimization problem."
L3,14,"The portfolio was constructed using constrained mean-variance optimization with a risk aversion parameter lambda = 0.5, maximizing expected return minus half the risk, subject to no short-selling and full investment. Quadratic programming was used to numerically solve for the optimal non-negative weights that sum to one. The result emphasizes stocks with higher risk-adjusted returns and lower correlations, leading to a concentrated allocation in a subset of the 30 stocks."
L0,15,"The portfolio allocates higher weights to large, stable, and diversified companies across sectors, with slightly larger allocations to technology, healthcare, and consumer staples to reduce risk. Weights are non-negative, sum to 1, and ensure exposure to all 30 stocks for diversification. This approach balances risk aversion with broad market representation."
L1,15,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The solution allocates only to stocks with the highest risk-adjusted returns and lowest correlations, resulting in concentrated weights in AAPL, MSFT, WMT, and AMZN. This approach balances higher expected returns with lower overall portfolio risk."
L2,15,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return minus half the variance, subject to no short selling and full investment constraints. The optimizer allocated weights to stocks with the highest risk-adjusted returns and lowest correlations, resulting in a concentrated portfolio in AAPL, MSFT, V, and CRM. This approach balances risk aversion and expected return, but the solution is not fully diversified due to the dominance of a few high-return, lower-risk assets."
L3,15,"The portfolio was constructed using constrained mean-variance optimization with no short-selling, maximizing expected return minus 0.25 times the portfolio variance. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, CRM, V, and AMZN. All other tickers received zero weight to satisfy the non-negativity and full investment constraints."
L0,16,"The portfolio was constructed by allocating higher weights to large, stable, and diversified companies across sectors, while ensuring exposure to all 30 stocks for diversification. Weights were tilted slightly toward lower-volatility, defensive, and blue-chip names to match the investor’s risk aversion. All weights are non-negative and sum to 1, with no short selling."
L1,16,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The optimizer concentrated allocations in stocks with the highest risk-adjusted returns and lowest correlations, resulting in significant weights for MSFT, AAPL, and AMZN. Diversification is achieved by balancing risk and return, but the optimizer favors a concentrated allocation due to the dominance of a few high-return, moderate-risk stocks."
L2,16,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing the trade-off between expected return and risk under the constraints of no short selling and full investment. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to MSFT, AAPL, CRM, DIS, and AMZN. This approach balances risk aversion with the goal of maximizing expected return."
L3,16,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus half the risk, subject to no short-selling and full investment constraints. Numerical quadratic programming was used due to the constraints. The resulting portfolio is concentrated in high-return, lower-covariance stocks, reflecting the trade-off between risk and return."
L0,17,"The portfolio was constructed by allocating higher weights to large, stable, and defensive companies across sectors, while ensuring broad diversification among all 30 stocks. No single stock dominates the allocation, and all weights are non-negative and sum to 1. This approach aims to reduce risk and provide stable returns for a risk-averse investor."
L1,17,"This portfolio was constructed using mean-variance optimization to maximize the expected return for a risk-averse investor, subject to no short selling and full investment constraints. The solution emphasizes stocks with high expected returns and low correlations, resulting in concentrated allocations to a subset of stocks with favorable risk-return profiles. Diversification is achieved by spreading weights among several low-risk, high-return stocks."
L2,17,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return minus 0.5 times portfolio variance, subject to no short selling and full investment constraints. Only AAPL, MSFT, V, and AMZN received nonzero weights, as their expected returns and risk profiles dominated under the given parameters. The result is a concentrated but risk-averse allocation to the highest risk-adjusted return stocks."
L3,17,"The portfolio was constructed by maximizing the mean-variance objective with λ=0.5, using quadratic programming to enforce non-negative weights and full investment. The optimizer allocated capital to stocks with the highest risk-adjusted expected returns and lowest correlations, resulting in a concentrated but diversified portfolio. No short-selling was allowed, and all weights sum to 1."
L0,18,"The portfolio allocates higher weights to large, stable companies across technology, healthcare, and consumer staples, while maintaining exposure to all sectors for diversification. Weights are tilted toward lower-volatility, blue-chip stocks to reduce risk, and no single stock dominates the portfolio. All weights are non-negative and sum to 1, meeting the investor's risk-averse and diversification requirements."
L1,18,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The solution concentrates weights in stocks with the highest risk-adjusted returns and lowest correlations, while minimizing exposure to lower-return or highly correlated assets. The result is a diversified allocation across AMZN, AAPL, MSFT, CRM, and V, which together balance risk and return efficiently."
L2,18,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return minus half the portfolio variance, subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, AMZN, and CRM. This approach balances risk aversion and diversification, but the optimizer favored a few high-return, lower-covariance stocks."
L3,18,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus half the risk, subject to no short-selling and full investment constraints. The solution was obtained via quadratic programming, which naturally sets many weights to zero and concentrates on assets with the best risk-adjusted returns and diversification benefits. Only assets with the most attractive return-to-risk profiles and low correlations received positive weights."
L0,19,"The portfolio is constructed by assigning higher weights to large, stable, and defensive companies across sectors (technology, healthcare, consumer staples, financials), while maintaining exposure to all 30 stocks for diversification. No single stock exceeds 5.5% to limit concentration risk. Weights sum to 1, with no short selling, to suit a risk-averse investor."
L1,19,"The portfolio was constructed using mean-variance optimization to maximize the expected return for a given level of risk, subject to no short selling and full investment constraints. Higher expected return stocks with lower correlations and volatilities were favored, resulting in a diversified allocation across technology, healthcare, consumer, and financial sectors. This approach balances risk and return for a risk-averse investor."
L2,19,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return minus 0.5 times variance, subject to no short selling and full investment. The solution allocates to AAPL, MSFT, V, and AMZN, which offer high expected returns relative to their risk and correlations. The result is a concentrated portfolio in growth and technology stocks, reflecting the risk-return tradeoff under the given parameters."
L3,19,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, maximizing expected return minus risk penalty, subject to no short-selling and full investment. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, CRM, V, DIS, and AMZN. This approach ensures the investor's risk aversion and diversification constraints are respected within the optimization framework."
L0,20,"The portfolio allocates higher weights to large, stable, and defensive companies across sectors, while ensuring diversification by spreading allocations among all 30 stocks. No single stock dominates the portfolio, and riskier or more cyclical stocks receive slightly lower weights. This approach aims to balance risk and return for a risk-averse investor."
L1,20,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. Stocks with the highest risk-adjusted returns and lower correlations were favored, resulting in a diversified allocation across technology, healthcare, consumer staples, and select growth names. This approach balances higher expected returns with lower overall portfolio volatility."
L2,20,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing the trade-off between expected return and risk, subject to no short selling and full investment constraints. The optimizer concentrated weights in AAPL, MSFT, V, and AMZN, which offer the best risk-adjusted returns given the covariance structure. This solution reflects the investor's risk aversion and the dominance of certain stocks in the risk-return profile."
L3,20,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda = 0.5, maximizing expected return minus penalized variance, subject to no-short-selling and full investment constraints. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation. Numerical quadratic programming was used to enforce the constraints and achieve the optimal diversified allocation."
L0,21,"The portfolio was constructed by allocating higher weights to large, stable, and diversified companies across sectors, with a focus on blue-chip stocks to minimize risk. Weights were adjusted to ensure broad sector diversification and to avoid concentration in any single stock or industry. All weights are non-negative and sum to 1, in line with the investor's risk-averse profile."
L1,21,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. Higher weights are allocated to stocks with high expected returns and lower correlations, while riskier or low-return stocks receive zero weight. The result is a diversified allocation across technology, healthcare, consumer, and select growth stocks to balance risk and return."
L2,21,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return minus half the portfolio variance, subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, AMZN, and CRM. This approach reflects the investor's risk aversion while seeking to maximize return for the given risk level."
L3,21,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda = 0.5, maximizing expected return minus half the risk, subject to no short-selling and full investment constraints. Quadratic programming was used to numerically solve for the optimal weights. The resulting portfolio is concentrated in a few high-return, lower-risk stocks, reflecting the constraints and the risk-return tradeoff."
L0,22,"The portfolio allocates higher weights to large, stable, and defensive companies across sectors, with slightly lower weights to more cyclical or volatile stocks to reduce risk. Diversification is achieved by spreading allocations across all 30 stocks and multiple industries. No short selling is used, and all weights are non-negative and sum to 1 to meet the investor's risk-averse profile."
L1,22,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. Only stocks with the highest risk-adjusted returns and lowest correlations (AAPL, MSFT, AMZN, WMT) received positive weights, resulting in a concentrated but diversified allocation. This approach balances higher expected returns with lower overall portfolio risk."
L2,22,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing expected return while penalizing risk, subject to no short selling and full investment constraints. Only stocks with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to AAPL, MSFT, V, AMZN, and CRM. This approach reflects the investor's risk aversion and the optimization's preference for assets with superior return-to-risk profiles."
L3,22,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, maximizing expected return minus risk penalty, subject to no short-selling and full investment. Only assets with the highest risk-adjusted returns and lowest covariances received positive weights, resulting in a concentrated allocation. The solution was found via quadratic programming, enforcing all constraints."
L0,23,"The portfolio was constructed by allocating higher weights to large, stable, and defensive companies across sectors, with slightly lower weights to more cyclical or volatile stocks, ensuring broad diversification. No single stock dominates the portfolio, and all weights are non-negative and sum to 1. This approach aims to reduce risk while maintaining exposure to multiple industries."
L1,23,"The portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. Stocks with higher expected returns and lower correlations/volatility received higher weights, while riskier or low-return stocks were excluded. The result is a diversified allocation emphasizing technology, healthcare, and consumer sectors."
L2,23,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return minus 0.5 times portfolio variance, subject to no short selling and full investment constraints. Only assets with the highest risk-adjusted returns and favorable covariances received positive weights. The result is a concentrated allocation in MSFT, DIS, AAPL, and AMZN, reflecting their superior risk-return profiles under the given parameters."
