level,rep,comment
L2,2,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short-selling and weights summing to one. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, and WMT received larger allocations. WMT received the highest weight due to its notably low covariance with other assets, providing strong diversification benefit relative to its positive expected return."
L3,2,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving the quadratic program numerically by allocating higher weights to assets with strong risk-adjusted returns such as MSFT, AAPL, AMZN, CRM, and WMT while zeroing out assets with negative or near-zero expected returns (MMM, VZ, INTC) and those with high variance relative to return (BA, AXP). Diversification across sectors was maintained by including defensive names like MRK, AMGN, PG, and UNH alongside growth-oriented holdings, balancing the mean-variance tradeoff under the no-short-selling constraint. The weights sum to exactly 1.0 and all are non-negative, satisfying the portfolio constraints."
L0,3,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and minimize concentration risk, which suits a risk-averse investor. Slightly higher weights were assigned to historically stable, large-cap companies with strong fundamentals such as AAPL, MSFT, JNJ, JPM, PG, KO, WMT, UNH, and V, which tend to exhibit lower volatility and consistent dividends. Lower weights were assigned to more cyclical or volatile names such as BA, DOW, and INTC to further reduce downside risk while maintaining broad sector exposure across technology, healthcare, financials, consumer staples, industrials, and energy."
L1,3,"The portfolio focuses on stocks with the highest expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk through diversification into lower-volatility, defensive names (MRK, PG, WMT, AMGN, UNH). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and high-variance stocks with modest returns (BA, DOW, AXP) were also omitted to reduce overall portfolio volatility. The selected holdings span technology, healthcare, consumer staples, and financials to minimize correlation-driven risk while maintaining attractive expected returns."
L2,3,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'*mu - 0.5*lambda*w'*Sigma*w subject to no short-selling and weights summing to one. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, and WMT received the largest allocations. Diversification was achieved by spreading weights across growth stocks (AMZN, CRM), defensive names (MRK, PG, AMGN), and income-stable holdings (UNH, WMT) to reduce overall portfolio variance."
L3,3,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving the quadratic program numerically via active-set methods. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight due to the non-negativity constraints, while high return-to-risk assets like AAPL, MSFT, MRK, WMT, AMGN, and CRM received the largest allocations. The resulting portfolio balances return maximization against variance penalization, concentrating on stocks with favorable risk-adjusted returns while using lower-variance defensive names like MRK, PG, and WMT to reduce overall portfolio volatility."
L0,4,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and minimize concentration risk, which suits a risk-averse investor. Slightly higher weights were assigned to large-cap, defensive, and dividend-paying stocks such as AAPL, MSFT, JNJ, PG, KO, WMT, and UNH, which historically exhibit lower volatility and more stable returns. The allocation spans multiple sectors including technology, healthcare, consumer staples, financials, industrials, and energy, ensuring broad sector diversification to reduce portfolio-level risk."
L1,4,"The portfolio was constructed using a mean-variance optimization approach favoring stocks with higher expected returns (AAPL, MSFT, AMZN, CRM) while controlling risk through diversification across sectors. Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded, and lower-volatility defensive names (MRK, PG, WMT, AMGN, JNJ) were included to reduce overall portfolio variance. Correlations were considered by blending high-growth technology stocks with lower-correlated defensive and healthcare holdings to achieve a balanced risk-return profile suitable for a risk-averse investor."
L2,4,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance via the objective of maximizing (mu'w - 0.5*w'Sigma*w) subject to no short selling and weights summing to one. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight, while high-return, relatively lower-risk assets like AAPL and MSFT received the largest allocations. Diversification was achieved by spreading weights across growth stocks (AMZN, CRM), defensive names (MRK, AMGN, PG, WMT), and income-oriented holdings (UNH) to reduce overall portfolio variance."
L3,4,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving max mu^T w - 0.25 * w^T Sigma w subject to non-negativity and full investment constraints via quadratic programming reasoning. Stocks with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return, relatively lower-risk assets (AAPL, MSFT, AMZN, CRM) received larger allocations. Diversification was maintained by spreading remaining weight across defensive and moderate-return stocks (AMGN, MRK, UNH, WMT, PG, V) to reduce portfolio variance given the risk-aversion parameter."
L0,5,"The portfolio was constructed with a risk-averse, diversified approach by spreading weights across all 30 stocks with no single position dominating. Defensive and dividend-paying stocks such as JNJ, PG, KO, WMT, MRK, and UNH received slightly higher allocations to reduce overall volatility, while large-cap growth names like AAPL and MSFT were given modest overweights for long-term stability. Cyclical and higher-volatility names such as BA, DOW, INTC, and MMM were given lower weights to limit downside risk."
L1,5,"The portfolio was constructed using a mean-variance optimization approach favoring stocks with higher expected returns (AAPL, MSFT, AMZN, CRM) while controlling risk through diversification across sectors including healthcare (AMGN, MRK, JNJ, UNH), consumer staples (PG, WMT, MCD), and financials (V). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and lower-volatility defensive names were included to reduce overall portfolio variance. The covariance structure was used to favor assets with lower cross-correlations, such as MRK, WMT, and PG, which exhibit relatively low covariances with the rest of the portfolio."
L2,5,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'*mu - 0.5*lambda*w'*Sigma*w subject to no short-selling and weights summing to one. Assets with higher risk-adjusted returns such as AAPL, MSFT, AMZN, and MSFT received larger allocations, while low or negative expected return assets like MMM, VZ, and INTC were excluded. Diversification was achieved by spreading weights across growth, defensive, and value names including AMGN, MRK, UNH, WMT, PG, and V to reduce overall portfolio variance."
L3,5,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving the quadratic program numerically via active-set reasoning. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, and the optimizer concentrated allocations in high-return, lower-covariance assets: AAPL and MSFT for their high mu, MRK and WMT for their low variance and low covariances, and AMGN, AMZN, CRM, and UNH for favorable return-to-risk tradeoffs. The no-short-selling constraint eliminated many correlated, lower-return assets, resulting in a focused but diversified portfolio across technology, healthcare, and defensive sectors."
L0,6,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and reduce concentration risk, which suits a risk-averse investor. Slightly higher weights were assigned to historically stable, large-cap defensive and blue-chip names such as AAPL, MSFT, JNJ, PG, KO, WMT, JPM, UNH, and V, which tend to exhibit lower volatility and consistent earnings. Cyclical and higher-volatility stocks such as BA, DOW, and INTC received marginally lower weights to further reduce overall portfolio risk."
L1,6,"The portfolio targets a mean-variance efficient allocation by overweighting stocks with the highest expected returns (AAPL, MSFT) while including diversifiers with lower volatility and low covariances such as MRK, AMGN, PG, and WMT. Stocks with negative or near-zero expected returns (MMM, VZ, INTC) and high-variance stocks with modest returns (BA, DOW, AXP) were excluded entirely to reduce risk. The remaining allocations to AMZN, CRM, UNH, and V balance growth potential against moderate covariance with the core holdings, achieving broad sector diversification across technology, healthcare, consumer staples, and financials."
L2,6,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short-selling and weights summing to one. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero allocation, while high-return, lower-risk assets like AAPL, MSFT, and WMT received larger weights. Diversification was achieved by spreading allocations across growth stocks (AMZN, CRM), defensive names (MRK, AMGN, PG), and stable compounders (UNH, WMT) to reduce overall portfolio variance."
L3,6,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving the quadratic program numerically via active-set/quadratic programming methods with non-negativity and full-investment constraints. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight, while high return-to-risk assets like AAPL, MSFT, MRK, WMT, and AMGN received the largest allocations. The diversification across growth (AAPL, MSFT, AMZN, CRM), defensive (MRK, WMT, PG, AMGN), and income-oriented (UNH) stocks balances the risk-return tradeoff for a risk-averse investor."
L0,7,"The portfolio was constructed using a near-equal weighting approach with slight overweights assigned to large-cap defensive and quality growth stocks such as AAPL, MSFT, JNJ, PG, WMT, KO, UNH, JPM, and V to reflect their historically lower volatility and stable earnings. Cyclical and higher-volatility names such as BA, DOW, and INTC received modest underweights to reduce overall portfolio risk in line with the investor's risk-averse profile. Broad diversification across sectors including technology, healthcare, consumer staples, financials, industrials, and energy ensures that no single sector dominates the portfolio, reducing concentration risk."
L1,7,"The portfolio was constructed by focusing on stocks with higher expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk through diversification into lower-volatility, lower-correlation assets (WMT, MRK, PG, AMGN, UNH, V). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and higher-variance stocks with elevated covariances (BA, DOW, AXP) were also omitted to reduce overall portfolio volatility. WMT received the largest allocation due to its relatively low covariance with most other holdings, providing a strong risk-reduction anchor while the growth-oriented tech names drive expected return."
L2,7,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'*mu - 0.5*lambda*w'*Sigma*w subject to no short-selling and weights summing to one. Assets with higher risk-adjusted returns such as AAPL, MSFT, AMZN, and WMT received larger allocations, while low-return or high-variance assets like MMM, BA, VZ, and INTC were excluded. Diversification was achieved by spreading weight across growth, defensive, and healthcare names including MRK, AMGN, PG, and UNH to reduce overall portfolio variance."
L3,7,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, maximizing the objective mu^T w - (0.25) w^T Sigma w subject to non-negativity and full-investment constraints via quadratic programming. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return assets with relatively low covariance contributions (AAPL, MSFT, AMZN, CRM, MRK, UNH, WMT) received the largest allocations. Diversification was maintained by spreading weights across multiple sectors including technology, healthcare, consumer staples, and financials to reduce portfolio variance."
L0,8,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and reduce concentration risk, consistent with a risk-averse objective. Slightly higher weights were assigned to large-cap, defensive, and historically stable names such as AAPL, MSFT, KO, JNJ, PG, WMT, and UNH, which tend to exhibit lower volatility and steady earnings. Cyclical and higher-volatility stocks such as BA, DOW, INTC, and MMM received lower weights to further reduce overall portfolio risk."
L1,8,"The portfolio focuses on stocks with the highest expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk through diversification into lower-volatility, defensive names (PG, WMT, MRK, AMGN, UNH). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and high-variance stocks with modest returns (BA, DOW, AXP) were also omitted to reduce overall portfolio volatility. The selected holdings span technology, healthcare, consumer staples, and financials to minimize correlation-driven risk while maintaining an attractive expected return profile."
L2,8,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short selling and weights summing to one. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, and WMT received the largest allocations. Diversification was achieved by spreading weight across growth stocks (AMZN, CRM), defensive names (MRK, PG, AMGN), and income-oriented holdings (UNH, WMT) to reduce overall portfolio variance."
L3,8,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, allocating weight to assets with the most favorable return-to-risk tradeoffs while excluding assets with negative or near-zero expected returns (MMM, VZ, INTC) by setting their weights to zero. Stocks with high expected returns relative to their variance and covariances, particularly AAPL and MSFT (mu=0.0055), received the largest allocations, while lower-volatility assets like MRK, WMT, PG, and AMGN were included to improve diversification and reduce portfolio variance. The weights were normalized to sum to exactly 1.0 while satisfying the non-negativity constraints, balancing return maximization against risk penalization across 10 selected holdings."
L0,9,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and minimize concentration risk, which is appropriate for a risk-averse investor. Slightly higher weights were assigned to large-cap, defensive, and dividend-paying stocks such as AAPL, MSFT, JNJ, PG, KO, WMT, and UNH, as these tend to exhibit lower volatility and more stable returns. The allocation spans multiple sectors including technology, healthcare, consumer staples, financials, industrials, and energy, ensuring broad sector diversification to reduce portfolio-level risk."
L1,9,"The portfolio was constructed by focusing on stocks with higher expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk through diversification into lower-volatility, lower-correlation assets (MRK, WMT, PG, AMGN, UNH, V). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and high-variance stocks with modest returns (BA, DOW, AXP) were also omitted to reduce overall portfolio volatility. The resulting allocation tilts toward high-return technology and healthcare names while anchoring risk with defensive consumer staples and low-covariance holdings."
L2,9,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short-selling and weights summing to one. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, WMT, and MRK were favored for their attractive return-to-risk profiles. Diversification was achieved by spreading allocations across technology, healthcare, consumer staples, and financial sectors to reduce overall portfolio variance."
L3,9,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving the quadratic program numerically by allocating higher weights to assets with strong risk-adjusted returns such as AAPL and MSFT (high mu, moderate covariance) and AMZN and CRM. Assets with negative or near-zero expected returns (MMM, VZ, INTC, BA) were excluded by the non-negativity constraints, while lower-volatility assets like MRK, AMGN, WMT, and PG received meaningful allocations to improve diversification and reduce portfolio variance. The resulting portfolio balances return-seeking positions in growth stocks with defensive holdings to satisfy the risk-averse investor objective."
L0,10,"The portfolio was constructed with a risk-averse, diversified approach by spreading weights across all 30 stocks with no single position dominating. Higher weights were assigned to historically stable, large-cap companies with strong fundamentals such as AAPL, MSFT, JNJ, PG, and UNH, which tend to exhibit lower volatility and consistent dividends. Smaller weights were given to more cyclical or volatile names like BA, DOW, INTC, and MMM to limit downside risk while still maintaining broad sector diversification across technology, healthcare, consumer staples, financials, and industrials."
L1,10,"The portfolio was constructed using a mean-variance optimization approach favoring stocks with higher expected returns (AAPL, MSFT, AMZN, CRM) while controlling risk through diversification across sectors including healthcare (MRK, UNH, JNJ), consumer staples (PG, WMT), and financials (V, JPM). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and lower-volatility assets like MRK, PG, WMT, and AMGN were included to reduce overall portfolio variance. The resulting allocation balances return potential against covariance risk, with defensive low-correlation holdings anchoring the portfolio against market downturns."
L2,10,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'*mu - 0.5*lambda*w'*Sigma*w subject to no short-selling and weights summing to one. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, AMZN, and WMT received the largest allocations. Diversification was achieved by spreading weights across growth stocks, defensive names (MRK, PG, AMGN), and stable dividend payers to reduce overall portfolio variance."
L3,10,"The portfolio was constructed by solving a quadratic programming problem maximizing mu^T w - (0.5/2) * w^T Sigma w subject to non-negativity and full-investment constraints. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, MRK, AMGN, and WMT received meaningful allocations. The lambda=0.5 risk-aversion parameter balanced return maximization against variance penalization, producing a concentrated but diversified portfolio across technology, healthcare, and defensive sectors."
L0,11,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and minimize concentration risk, which suits a risk-averse investor. Slightly higher weights were assigned to historically stable, large-cap companies with strong fundamentals such as AAPL, MSFT, JNJ, JPM, PG, KO, WMT, UNH, and V, which tend to exhibit lower volatility and consistent dividends. Lower weights were assigned to more cyclical or volatile names such as BA, DOW, and INTC to further reduce downside risk while maintaining broad sector exposure across technology, healthcare, financials, consumer staples, industrials, and energy."
L1,11,"The portfolio focuses on stocks with the highest expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk through diversification into lower-volatility, defensive names (MRK, AMGN, PG, WMT, UNH, V). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and high-variance stocks with elevated covariances (BA, DOW, AXP) were also omitted to reduce overall portfolio volatility. The resulting allocation blends growth-oriented technology and consumer holdings with stable healthcare and consumer staples positions to achieve a favorable return-to-risk tradeoff for a risk-averse investor."
L2,11,"The portfolio was constructed using mean-variance optimization with lambda=0.5, maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short-selling and weights summing to one. Stocks with negative or very low expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, WMT, and MRK received larger allocations. WMT received the highest weight due to its favorable combination of positive return and very low covariance with other assets, contributing strongly to diversification."
L3,11,"The portfolio was constructed by solving a quadratic programming problem maximizing mu^T w - (0.5/2) * w^T Sigma w subject to non-negativity and full-investment constraints. Assets with high expected returns relative to their marginal contribution to portfolio variance received larger allocations, with MSFT and AAPL dominating due to their high mu and moderate covariances. Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely by the non-negativity constraints, while lower-volatility assets like AMGN, MRK, WMT, and UNH provided diversification benefits."
L0,12,"The portfolio was constructed using a near-equal weighting approach across all 30 stocks to maximize diversification and reduce concentration risk, which suits a risk-averse investor. Slightly higher weights were assigned to historically stable, large-cap companies with strong fundamentals such as AAPL, MSFT, JNJ, JPM, PG, KO, WMT, UNH, and V, which tend to exhibit lower volatility and consistent dividends. The broad allocation across multiple sectors including technology, healthcare, financials, consumer staples, industrials, and energy ensures the portfolio is not overly exposed to any single sector downturn."
L1,12,"The portfolio targets stocks with the highest expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk by including lower-volatility, low-correlation assets such as MRK, AMGN, WMT, and PG. Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and weights were allocated to minimize concentration in high-covariance assets like BA and AXP. The result is a diversified mix across technology, healthcare, consumer staples, and financials that seeks to balance return potential against portfolio volatility for a risk-averse investor."
L2,12,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short-selling and weights summing to one. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, and WMT received the largest allocations. Diversification was achieved by spreading weight across growth stocks, defensive names, and lower-covariance assets such as MRK, PG, AMGN, and UNH."
L3,12,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving the quadratic program numerically via active-set methods. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight due to the non-negativity constraints, while high return-to-risk assets like AAPL, MSFT, MRK, WMT, and AMGN received meaningful allocations. The resulting portfolio balances return maximization against variance penalization, concentrating on stocks with favorable risk-adjusted returns while achieving diversification across technology, healthcare, consumer, and financial sectors."
L0,13,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and minimize concentration risk, which suits a risk-averse investor. Slightly higher weights were assigned to historically stable, large-cap companies with strong fundamentals such as AAPL, MSFT, JNJ, JPM, PG, KO, WMT, UNH, and V, which tend to exhibit lower volatility and consistent dividends. Lower weights were assigned to more cyclical or volatile names such as BA, DOW, and INTC to further reduce downside risk while maintaining broad sector exposure across technology, healthcare, financials, consumer staples, industrials, and energy."
L1,13,"The portfolio was constructed by focusing on stocks with higher expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk through diversification into lower-volatility, lower-correlation assets (MRK, PG, WMT, AMGN, UNH, V). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and high-variance stocks with modest returns (BA, DOW, AXP) were also omitted to reduce overall portfolio volatility. The resulting allocation spreads exposure across technology, healthcare, consumer staples, and financials to minimize correlation-driven risk while targeting above-average expected returns."
L2,13,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance via the objective of maximizing mu'w - 0.5*lambda*w'Sigma*w subject to no short selling and weights summing to one. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like MSFT, AAPL, and WMT received the largest allocations. Diversification across sectors was achieved by including defensive names such as MRK, AMGN, PG, and UNH alongside growth-oriented holdings."
L3,13,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving the quadratic program numerically by evaluating the trade-off between expected return and portfolio variance subject to non-negativity and full-investment constraints. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight, while high-return assets with relatively low covariance contributions (AAPL, MSFT, MRK, WMT, AMGN) received the largest allocations. The remaining weight was distributed among CRM, AMZN, UNH, and AMGN to balance return enhancement against diversification of risk."
L0,14,"The portfolio was constructed with a risk-averse strategy by overweighting defensive and dividend-paying stocks such as JNJ, PG, KO, WMT, and UNH, which tend to exhibit lower volatility and stable cash flows. Broad diversification across all 30 stocks and multiple sectors including technology, healthcare, consumer staples, financials, and industrials reduces concentration risk. Higher-volatility or cyclical names like BA, DOW, INTC, and MMM were assigned lower weights to limit downside exposure while still maintaining full diversification."
L1,14,"The portfolio was constructed using a mean-variance optimization approach favoring stocks with higher expected returns (AAPL, MSFT, AMZN, CRM) while controlling risk through diversification into lower-volatility, lower-correlation assets (MRK, AMGN, PG, WMT, JNJ). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and weights were tilted away from high-variance, high-correlation securities (BA, DOW, AXP) to reduce overall portfolio volatility. The result balances growth potential with downside protection suitable for a risk-averse investor."
L2,14,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short-selling and weights summing to one. Assets with negative or very low expected returns (MMM, VZ, INTC) received zero weight, while high-return, lower-risk assets like AAPL, MSFT, AMZN, and WMT received larger allocations. Diversification was achieved by spreading weight across growth stocks, defensive names, and lower-covariance assets such as MRK, PG, AMGN, and UNH."
L3,14,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, solving the quadratic program numerically via active-set reasoning. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return assets with relatively contained variance such as AAPL and MSFT received the largest allocations. Diversification was achieved by spreading remaining weight across AMZN, AMGN, MRK, CRM, UNH, WMT, and V, which offer favorable return-to-risk tradeoffs and low pairwise covariances with the dominant holdings."
L0,15,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and reduce concentration risk, which is appropriate for a risk-averse investor. Slightly higher weights were assigned to large-cap, financially stable companies with strong dividend histories such as AAPL, MSFT, JNJ, JPM, KO, PG, WMT, V, UNH, and AMZN, as these tend to exhibit lower volatility and more consistent returns. The allocation spans multiple sectors including technology, healthcare, consumer staples, financials, industrials, and energy, ensuring broad sector diversification to further mitigate portfolio risk."
L1,15,"The portfolio targets a mean-variance efficient allocation by overweighting stocks with the highest expected returns (AAPL, MSFT) while controlling risk through diversification into lower-volatility, lower-correlation assets such as WMT, MRK, PG, and AMGN. Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and high-variance stocks with modest returns (BA, DOW, AXP) were also omitted. The resulting mix balances growth potential with risk reduction by combining high-return tech names with defensive, low-covariance holdings."
